OFNS_DESC,Total_Complaints,Offense_Group
DANGEROUS DRUGS,443335,Drug & Alcohol Crimes
INTOXICATED & IMPAIRED DRIVING,101792,Drug & Alcohol Crimes
ALCOHOLIC BEVERAGE CONTROL LAW,1386,Drug & Alcohol Crimes
CANNABIS RELATED OFFENSES,75,Drug & Alcohol Crimes
INTOXICATED/IMPAIRED DRIVING,69,Drug & Alcohol Crimes
LOITERING FOR DRUG PURPOSES,23,Drug & Alcohol Crimes
UNDER THE INFLUENCE OF DRUGS,3,Drug & Alcohol Crimes
OFFENSES RELATED TO CHILDREN,1711,Family & Children Offenses
CHILD ABANDONMENT/NON SUPPORT,513,Family & Children Offenses
OFFENSES AGAINST MARRIAGE UNCL,5,Family & Children Offenses
MISCELLANEOUS PENAL LAW,215782,Other Offenses
ADMINISTRATIVE CODE,18198,Other Offenses
NYS LAWS-UNCLASSIFIED FELONY,7991,Other Offenses
OTHER STATE LAWS (NON PENAL LA,7604,Other Offenses
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,956,Other Offenses
OTHER STATE LAWS,382,Other Offenses
ENDAN WELFARE INCOMP,321,Other Offenses
ESCAPE 3,223,Other Offenses
ANTICIPATORY OFFENSES,148,Other Offenses
NEW YORK CITY HEALTH CODE,101,Other Offenses
NYS LAWS-UNCLASSIFIED VIOLATION,76,Other Offenses
ADMINISTRATIVE CODES,19,Other Offenses
OTHER STATE LAWS (NON PENAL LAW),15,Other Offenses
FORTUNE TELLING,12,Other Offenses
ABORTION,7,Other Offenses
,,Other Offenses
HARRASSMENT 2,1101909,Personal Disturbance Crimes
OFFENSES AGAINST THE PERSON,20358,Personal Disturbance Crimes
PETIT LARCENY,1444324,Property Crimes
CRIMINAL MISCHIEF & RELATED OF,833394,Property Crimes
GRAND LARCENY,728282,Property Crimes
BURGLARY,283014,Property Crimes
GRAND LARCENY OF MOTOR VEHICLE,157757,Property Crimes
CRIMINAL TRESPASS,86241,Property Crimes
POSSESSION OF STOLEN PROPERTY,39993,Property Crimes
UNAUTHORIZED USE OF A VEHICLE,24669,Property Crimes
ARSON,18894,Property Crimes
OTHER OFFENSES RELATED TO THEF,17510,Property Crimes
THEFT OF SERVICES,4834,Property Crimes
BURGLAR'S TOOLS,4413,Property Crimes
PETIT LARCENY OF MOTOR VEHICLE,1629,Property Crimes
JOSTLING,463,Property Crimes
OFF. AGNST PUB ORD SENSBLTY &,417434,Public Order Crimes
OFFENSES AGAINST PUBLIC ADMINI,149635,Public Order Crimes
GAMBLING,3348,Public Order Crimes
OFFENSES AGAINST PUBLIC SAFETY,1227,Public Order Crimes
DISORDERLY CONDUCT,1070,Public Order Crimes
"LOITERING/GAMBLING (CARDS, DIC",258,Public Order Crimes
DISRUPTION OF A RELIGIOUS SERV,59,Public Order Crimes
LOITERING,23,Public Order Crimes
SEX CRIMES,100643,Sex Crimes
PROSTITUTION & RELATED OFFENSES,1486,Sex Crimes
FELONY SEX CRIMES,40,Sex Crimes
LOITERING/DEVIATE SEX,16,Sex Crimes
VEHICLE AND TRAFFIC LAWS,113482,Vehicle & Traffic Offenses
OTHER TRAFFIC INFRACTION,16,Vehicle & Traffic Offenses
ASSAULT 3 & RELATED OFFENSES,876390,Violent Crimes
FELONY ASSAULT,335783,Violent Crimes
ROBBERY,297783,Violent Crimes
RAPE,23740,Violent Crimes
KIDNAPPING & RELATED OFFENSES,3126,Violent Crimes
MURDER & NON-NEGL. MANSLAUGHTER,1749,Violent Crimes
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",203,Violent Crimes
HOMICIDE-NEGLIGENT-VEHICLE,123,Violent Crimes
KIDNAPPING,67,Violent Crimes
KIDNAPPING AND RELATED OFFENSES,3,Violent Crimes
DANGEROUS WEAPONS,173628,Weapons Offenses
UNLAWFUL POSS. WEAP. ON SCHOOL,88,Weapons Offenses
FORGERY,82657,White-Collar Crimes
THEFT-FRAUD,80564,White-Collar Crimes
FRAUDS,47964,White-Collar Crimes
OFFENSES INVOLVING FRAUD,28724,White-Collar Crimes
FRAUDULENT ACCOSTING,3553,White-Collar Crimes
