year,zipcode,total_crimes,borough,offense_group,population,crimes_per_100k_borough_residents
2022,10451,1,Bronx,,50118,1.99529111297338
2022,10451,121,Bronx,Drug & Alcohol Crimes,50118,241.430224669779
2022,10451,175,Bronx,Other Offenses,50118,349.175944770342
2022,10451,1687,Bronx,Personal Crimes,50118,3366.0561075861
2022,10451,2550,Bronx,Property Crimes,50118,5087.99233808213
2022,10451,335,Bronx,Public Order Crimes,50118,668.422522846083
2022,10451,109,Bronx,Sex Crimes,50118,217.486731314099
2022,10451,187,Bronx,Vehicle & Traffic Offenses,50118,373.119438126023
2022,10451,726,Bronx,Violent Crimes,50118,1448.58134801868
2022,10451,108,Bronx,Weapons Offenses,50118,215.491440201125
2022,10451,221,Bronx,White-Collar Crimes,50118,440.959335967118
2022,10452,122,Bronx,Drug & Alcohol Crimes,79838,152.809439114206
2022,10452,4,Bronx,Family & Children Offenses,79838,5.01014554472808
2022,10452,130,Bronx,Other Offenses,79838,162.829730203662
2022,10452,1929,Bronx,Personal Crimes,79838,2416.14268894511
2022,10452,2290,Bronx,Property Crimes,79838,2868.30832435682
2022,10452,367,Bronx,Public Order Crimes,79838,459.680853728801
2022,10452,178,Bronx,Sex Crimes,79838,222.951476740399
2022,10452,269,Bronx,Vehicle & Traffic Offenses,79838,336.932287882963
2022,10452,965,Bronx,Violent Crimes,79838,1208.69761266565
2022,10452,101,Bronx,Weapons Offenses,79838,126.506175004384
2022,10452,315,Bronx,White-Collar Crimes,79838,394.548961647336
2022,10453,115,Bronx,Drug & Alcohol Crimes,80393,143.047280235841
2022,10453,147,Bronx,Other Offenses,80393,182.851740823206
2022,10453,1979,Bronx,Personal Crimes,80393,2461.65710944983
2022,10453,1971,Bronx,Property Crimes,80393,2451.70599430299
2022,10453,238,Bronx,Public Order Crimes,80393,296.045675618524
2022,10453,119,Bronx,Vehicle & Traffic Offenses,80393,148.022837809262
2022,10453,617,Bronx,Violent Crimes,80393,767.479755700123
2022,10453,82,Bronx,Weapons Offenses,80393,101.998930255122
2022,10453,129,Bronx,White-Collar Crimes,80393,160.461731742813
2022,10454,2,Bronx,,38908,5.1403310373188
2022,10454,228,Bronx,Drug & Alcohol Crimes,38908,585.997738254344
2022,10454,2,Bronx,Family & Children Offenses,38908,5.1403310373188
2022,10454,137,Bronx,Other Offenses,38908,352.112676056338
2022,10454,1269,Bronx,Personal Crimes,38908,3261.54004317878
2022,10454,1749,Bronx,Property Crimes,38908,4495.21949213529
2022,10454,270,Bronx,Public Order Crimes,38908,693.944690038038
2022,10454,140,Bronx,Sex Crimes,38908,359.823172612316
2022,10454,178,Bronx,Vehicle & Traffic Offenses,38908,457.489462321374
2022,10454,570,Bronx,Violent Crimes,38908,1464.99434563586
2022,10454,93,Bronx,Weapons Offenses,38908,239.025393235324
2022,10454,185,Bronx,White-Collar Crimes,38908,475.480620951989
2022,10455,290,Bronx,Drug & Alcohol Crimes,42781,677.871017507772
2022,10455,2,Bronx,Family & Children Offenses,42781,4.67497253453636
2022,10455,113,Bronx,Other Offenses,42781,264.135948201304
2022,10455,1378,Bronx,Personal Crimes,42781,3221.05607629555
