year,zipcode,total_crimes,borough,offense_group,population,crimes_per_100k_borough_residents
2022,10451,121,Bronx,Drug & Alcohol Crimes,50118,241.430224669779
2022,10451,175,Bronx,Other Offenses,50118,349.175944770342
2022,10451,881,Bronx,Personal Disturbance Crimes,50118,1757.85147052955
2022,10451,2551,Bronx,Property Crimes,50118,5089.9876291951
2022,10451,335,Bronx,Public Order Crimes,50118,668.422522846083
2022,10451,109,Bronx,Sex Crimes,50118,217.486731314099
2022,10451,187,Bronx,Vehicle & Traffic Offenses,50118,373.119438126023
2022,10451,1532,Bronx,Violent Crimes,50118,3056.78598507522
2022,10451,108,Bronx,Weapons Offenses,50118,215.491440201125
2022,10451,221,Bronx,White-Collar Crimes,50118,440.959335967118
2022,10452,122,Bronx,Drug & Alcohol Crimes,79838,152.809439114206
2022,10452,4,Bronx,Family & Children Offenses,79838,5.01014554472808
2022,10452,130,Bronx,Other Offenses,79838,162.829730203662
2022,10452,1024,Bronx,Personal Disturbance Crimes,79838,1282.59725945039
2022,10452,2290,Bronx,Property Crimes,79838,2868.30832435682
2022,10452,367,Bronx,Public Order Crimes,79838,459.680853728801
2022,10452,178,Bronx,Sex Crimes,79838,222.951476740399
2022,10452,269,Bronx,Vehicle & Traffic Offenses,79838,336.932287882963
2022,10452,1870,Bronx,Violent Crimes,79838,2342.24304216037
2022,10452,101,Bronx,Weapons Offenses,79838,126.506175004384
2022,10452,315,Bronx,White-Collar Crimes,79838,394.548961647336
2022,10453,115,Bronx,Drug & Alcohol Crimes,80393,143.047280235841
2022,10453,147,Bronx,Other Offenses,80393,182.851740823206
2022,10453,1091,Bronx,Personal Disturbance Crimes,80393,1357.08332815046
2022,10453,1971,Bronx,Property Crimes,80393,2451.70599430299
2022,10453,238,Bronx,Public Order Crimes,80393,296.045675618524
2022,10453,119,Bronx,Vehicle & Traffic Offenses,80393,148.022837809262
2022,10453,1505,Bronx,Violent Crimes,80393,1872.05353699949
2022,10453,82,Bronx,Weapons Offenses,80393,101.998930255122
2022,10453,129,Bronx,White-Collar Crimes,80393,160.461731742813
2022,10454,229,Bronx,Drug & Alcohol Crimes,38908,588.567903773003
2022,10454,2,Bronx,Family & Children Offenses,38908,5.1403310373188
2022,10454,136,Bronx,Other Offenses,38908,349.542510537679
2022,10454,695,Bronx,Personal Disturbance Crimes,38908,1786.26503546828
2022,10454,1749,Bronx,Property Crimes,38908,4495.21949213529
2022,10454,270,Bronx,Public Order Crimes,38908,693.944690038038
2022,10454,140,Bronx,Sex Crimes,38908,359.823172612316
2022,10454,178,Bronx,Vehicle & Traffic Offenses,38908,457.489462321374
2022,10454,1146,Bronx,Violent Crimes,38908,2945.40968438367
2022,10454,93,Bronx,Weapons Offenses,38908,239.025393235324
2022,10454,185,Bronx,White-Collar Crimes,38908,475.480620951989
2022,10455,290,Bronx,Drug & Alcohol Crimes,42781,677.871017507772
2022,10455,2,Bronx,Family & Children Offenses,42781,4.67497253453636
2022,10455,113,Bronx,Other Offenses,42781,264.135948201304
2022,10455,780,Bronx,Personal Disturbance Crimes,42781,1823.23928846918
2022,10455,2044,Bronx,Property Crimes,42781,4777.82193029616
2022,10455,295,Bronx,Public Order Crimes,42781,689.558448844113
2022,10455,147,Bronx,Vehicle & Traffic Offenses,42781,343.610481288422
2022,10455,1206,Bronx,Violent Crimes,42781,2819.00843832542
2022,10455,73,Bronx,Weapons Offenses,42781,170.636497510577
2022,10455,179,Bronx,White-Collar Crimes,42781,418.410041841004
2022,10456,104,Bronx,Drug & Alcohol Crimes,90314,115.153796753549
2022,10456,236,Bronx,Other Offenses,90314,261.310538786899
2022,10456,1428,Bronx,Personal Disturbance Crimes,90314,1581.15020926988
2022,10456,2206,Bronx,Property Crimes,90314,2442.58918883008
2022,10456,521,Bronx,Public Order Crimes,90314,576.876231813451
2022,10456,155,Bronx,Vehicle & Traffic Offenses,90314,171.623447084616
2022,10456,2115,Bronx,Violent Crimes,90314,2341.82961667073
2022,10456,136,Bronx,Weapons Offenses,90314,150.585734216179
2022,10456,139,Bronx,White-Collar Crimes,90314,153.907478353301
2022,10457,323,Bronx,Drug & Alcohol Crimes,79443,406.580818951953
2022,10457,2,Bronx,Family & Children Offenses,79443,2.51752829072417
2022,10457,189,Bronx,Other Offenses,79443,237.906423473434
2022,10457,1306,Bronx,Personal Disturbance Crimes,79443,1643.94597384288
2022,10457,2421,Bronx,Property Crimes,79443,3047.4679959216
2022,10457,438,Bronx,Public Order Crimes,79443,551.338695668593
2022,10457,204,Bronx,Sex Crimes,79443,256.787885653865
2022,10457,302,Bronx,Vehicle & Traffic Offenses,79443,380.146771899349
2022,10457,2079,Bronx,Violent Crimes,79443,2616.97065820777
2022,10457,172,Bronx,Weapons Offenses,79443,216.507433002278
2022,10457,278,Bronx,White-Collar Crimes,79443,349.936432410659
2022,10458,189,Bronx,Drug & Alcohol Crimes,86757,217.849856495729
2022,10458,2,Bronx,Family & Children Offenses,86757,2.3052894867273
2022,10458,160,Bronx,Other Offenses,86757,184.423158938184
2022,10458,858,Bronx,Personal Disturbance Crimes,86757,988.96918980601
2022,10458,2831,Bronx,Property Crimes,86757,3263.13726846249
2022,10458,354,Bronx,Public Order Crimes,86757,408.036239150731
2022,10458,142,Bronx,Vehicle & Traffic Offenses,86757,163.675553557638
